ID_ARTICULO,ARCHIVO_ARTICULO,REFERENCIA_CITA,ID_ESPECIE,ID_BATCH,ARCHIVO_BATCH,MODO_IONIZACION
ART_01,01_ilex_guayusa.pdf,"Garzon et al. 2026, J. Chromatogr. A 1769:466732",ILEX_GUAYUSA,BATCH_01,BATCH_01_NEG_ilex_guayusa.xlsx,NEG
ART_01,01_ilex_guayusa.pdf,"Garzon et al. 2026, J. Chromatogr. A 1769:466732",ILEX_GUAYUSA,BATCH_02,BATCH_02_POS_ilex_guayusa.xlsx,POS
