ID_MUESTRA,CODIGO_MUESTRA,ID_MUESTRA_FISICA,CODIGO_MUESTRA_FISICA,ID_TIPO_MUESTRA,LOTE,ID_ESPECIE,ID_TIPO_CULTIVO,ID_PARTE_PLANTA,ID_UBICACION,ID_METODO_EXTRACCION,ID_SOLVENTE,MODO_IONIZACION,ID_COLUMNA,VISITA,SECUENCIA_INYECCION
47,46_GC_2_-_NEG,47,46_GC_2_-,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,2,46
48,47_GC_2_2_NEG,48,47_GC_2_2,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,2,47
49,48_MB_16_A+0_2_NEG,49,48_MB_16_A+0_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,48
50,49_MB_17_B+2_3_NEG,50,49_MB_17_B+2_3,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,49
51,50_MB_18_A-1_2_NEG,51,50_MB_18_A-1_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,50
52,51_MB_19_C-2_2_NEG,52,51_MB_19_C-2_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,51
53,52_MB_20_C+0_1_NEG,53,52_MB_20_C+0_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,52
54,53_POOLED_QC_6_NEG,54,53_POOLED_QC_6,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,6,53
55,54_MB_21_C-2_3_NEG,55,54_MB_21_C-2_3,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,54
56,55_MB_22_C-1_1_NEG,56,55_MB_22_C-1_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,55
57,56_MB_23_B+1_3_NEG,57,56_MB_23_B+1_3,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,56
58,57_MB_24_A+1_2_NEG,58,57_MB_24_A+1_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,57
59,58_MB_25_B-0_3_NEG,59,58_MB_25_B-0_3,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,58
60,59_POOLED_QC_7_NEG,60,59_POOLED_QC_7,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,7,59
61,60_MB_26_A+1_3_NEG,61,60_MB_26_A+1_3,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,60
62,61_MB_27_A-2_3_NEG,62,61_MB_27_A-2_3,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,61
63,62_MB_28_B+2_1_NEG,63,62_MB_28_B+2_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,62
64,63_MB_29_C+2_1_NEG,64,63_MB_29_C+2_1,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,1,63
65,64_MB_30_B-1_1_NEG,65,64_MB_30_B-1_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,64
66,65_GC_3_-_NEG,66,65_GC_3_-,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,65
67,66_GC_3_B_NEG,67,66_GC_3_B,4,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,66
68,67_GC_3_1_NEG,68,67_GC_3_1,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,67
69,68_GC_3_A_NEG,69,68_GC_3_A,4,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,68
70,69_GC_3_C_NEG,70,69_GC_3_C,4,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,69
71,70_POOLED_QC_8_NEG,71,70_POOLED_QC_8,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,8,70
72,71_GC_3_+_NEG,72,71_GC_3_+,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,71
73,72_GC_3_0_NEG,73,72_GC_3_0,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,72
74,73_GC_3_2_NEG,74,73_GC_3_2,4,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,3,73
75,74_MB_31_A-2_1_NEG,75,74_MB_31_A-2_1,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,1,74
76,75_MB_32_B+2_2_NEG,76,75_MB_32_B+2_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,75
77,76_MB_33_C+0_2_NEG,77,76_MB_33_C+0_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,76
78,77_MB_34_B-1_2_NEG,78,77_MB_34_B-1_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,77
79,78_MB_35_A-1_3_NEG,79,78_MB_35_A-1_3,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,78
80,79_POOLED_QC_9_NEG,80,79_POOLED_QC_9,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,9,79
81,80_MB_36_A+0_3_NEG,81,80_MB_36_A+0_3,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,80
82,81_MB_37_B-1_3_NEG,82,81_MB_37_B-1_3,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,3,81
83,82_MB_38_C+1_2_NEG,83,82_MB_38_C+1_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,82
84,83_MB_39_B+0_1_NEG,84,83_MB_39_B+0_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,83
85,84_MB_40_A-0_2_NEG,85,84_MB_40_A-0_2,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,2,84
86,85_POOLED_QC_10_NEG,86,85_POOLED_QC_10,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,10,85
87,86_MB_41_B+1_1_NEG,87,86_MB_41_B+1_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,86
88,87_MB_42_C-1_2_NEG,88,87_MB_42_C-1_2,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,2,87
89,88_MB_43_B-2_1_NEG,89,88_MB_43_B-2_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,88
90,89_MB_44_C+1_3_NEG,90,89_MB_44_C+1_3,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,89
91,90_MB_45_B-0_1_NEG,91,90_MB_45_B-0_1,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,1,90
92,91_POOLED_QC_11_NEG,92,91_POOLED_QC_11,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,11,91
93,92_MB_46_C-1_3_NEG,93,92_MB_46_C-1_3,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,92
94,93_MB_47_C+0_3_NEG,94,93_MB_47_C+0_3,1,BATCH_01_NEG,1,1,1,3,1,1,NEG,1,3,93
95,94_MB_48_B-0_2_NEG,95,94_MB_48_B-0_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,94
96,95_MB_49_A-0_3_NEG,96,95_MB_49_A-0_3,1,BATCH_01_NEG,1,1,1,1,1,1,NEG,1,3,95
97,96_MB_50_B-2_2_NEG,97,96_MB_50_B-2_2,1,BATCH_01_NEG,1,1,1,2,1,1,NEG,1,2,96
98,97_POOLED_QC_12_NEG,98,97_POOLED_QC_12,3,BATCH_01_NEG,1,1,1,4,1,1,NEG,1,12,97
