ID_BATCH,ID_ARTICULO,ARCHIVO_BATCH,MODO_IONIZACION
1,1,BATCH_01_NEG_ilex_guayusa.xlsx,NEG
2,1,BATCH_02_POS_ilex_guayusa.xlsx,POS
